,car_model,year_of_manufacture,price,fuel,Unnamed: 0
118,alto k10,2010,2910.45,Petrol,
119,ciaz,2015,11119.4,Diesel,
120,ritz,2012,4626.87,Diesel,
121,ritz,2011,3507.46,Petrol,
122,swift,2014,7388.06,Diesel,
123,ertiga,2014,8955.22,Diesel,
124,dzire,2014,8208.96,Diesel,
125,sx4,2011,4402.99,CNG,
126,dzire,2015,6940.3,Petrol,
127,800,2003,522.39,Petrol,
128,alto k10,2016,4477.61,Petrol,
129,sx4,2003,3358.21,Petrol,
130,baleno,2016,8731.34,Petrol,
131,alto k10,2014,3805.97,Petrol,
132,sx4,2008,2910.45,Petrol,
133,dzire,2014,8208.96,Diesel,
134,omni,2012,1865.67,Petrol,
135,ciaz,2014,11194.03,Petrol,
136,ritz,2013,3955.22,Petrol,
137,wagon r,2006,1567.16,Petrol,
138,ertiga,2015,8656.72,Petrol,
139,ciaz,2017,11567.16,Petrol,
140,fortuner,2012,22238.81,Diesel,
141,fortuner,2015,34328.36,Diesel,
142,innova,2017,26865.67,Diesel,
143,fortuner,2013,23880.6,Diesel,
144,innova,2005,4104.48,Petrol,
145,corolla altis,2009,5373.13,Petrol,
146,etios cross,2015,6716.42,Petrol,
147,corolla altis,2010,7089.55,Petrol,
148,etios g,2014,6119.4,Petrol,
149,fortuner,2014,29835.82,Diesel,
150,corolla altis,2013,10373.13,Petrol,
151,etios cross,2015,6716.42,Petrol,
152,fortuner,2014,27985.07,Diesel,
153,fortuner,2015,35074.63,Diesel,
154,fortuner,2017,49253.73,Diesel,
155,etios liva,2014,7089.55,Diesel,
156,innova,2017,29477.61,Petrol,
157,fortuner,2010,13805.97,Diesel,
158,corolla altis,2011,6492.54,Petrol,
159,corolla altis,2016,21268.66,Petrol,
160,corolla altis,2016,21985.07,Diesel,
161,etios gd,2015,7089.55,Diesel,
162,innova,2017,34328.36,Diesel,
163,innova,2015,18656.72,Diesel,
164,innova,2005,5208.96,Diesel,
165,camry,2006,3731.34,Petrol,
166,land cruiser,2010,52238.81,Diesel,
167,corolla altis,2012,8805.97,Petrol,
168,etios liva,2013,5149.25,Petrol,
169,etios g,2014,7089.55,Petrol,
170,etios liva,2014,5895.52,Diesel,
171,corolla altis,2011,6716.42,Diesel,
172,corolla altis,2013,11119.4,Petrol,
173,etios liva,2011,3955.22,Petrol,
174,etios cross,2014,7313.43,Diesel,
175,etios g,2015,5895.52,Petrol,
176,corolla altis,2013,8208.96,Petrol,
177,corolla,2004,2238.81,Petrol,
178,corolla altis,2010,7835.82,Petrol,
179,fortuner,2012,21641.79,Diesel,
